temp,mudweight,gel30min,tauy,m,K,fluidloss
47.00,10.00,55.00,7.52,0.71,0.16,8.60
47.00,10.00,53.00,6.62,0.68,0.20,8.60
52.00,12.00,24.00,4.82,0.63,0.30,7.60
53.00,12.00,26.00,2.80,0.64,0.28,7.50
52.00,12.00,25.00,2.36,0.58,0.47,8.80
52.00,12.00,27.00,2.82,0.57,0.50,8.00
45.00,9.20,15.00,2.77,0.69,0.26,6.00
47.00,9.30,15.00,2.63,0.65,0.33,5.80
47.00,9.30,17.00,3.01,0.59,0.58,5.10
45.00,9.25,31.00,3.08,0.63,0.57,5.00
52.00,12.20,63.00,3.03,0.63,0.58,5.00
55.00,12.80,62.00,2.29,0.67,0.45,5.00
49.00,10.00,44.00,5.55,0.66,0.21,8.80
50.00,10.00,54.00,5.58,0.61,0.32,8.80
50.00,9.90,34.00,3.76,0.72,0.14,7.70
47.00,10.00,50.00,7.08,0.67,0.20,7.90
50.00,11.90,29.00,4.44,0.64,0.32,7.10
53.00,12.00,36.00,3.41,0.59,0.44,7.20
54.00,12.00,33.00,2.93,0.58,0.44,6.90
53.00,12.00,39.00,5.61,0.65,0.27,7.40
54.00,9.60,54.00,2.68,0.66,0.30,6.90
55.00,12.30,37.00,0.69,0.62,0.54,4.70
51.00,10.00,45.00,5.92,0.64,0.26,8.80
54.00,10.05,45.00,4.28,0.63,0.31,8.20
52.00,12.00,38.00,6.64,0.71,0.17,7.20
54.00,12.00,37.00,3.55,0.59,0.40,7.90
54.00,12.10,38.00,3.16,0.54,0.58,7.80
53.00,12.10,39.00,6.06,0.66,0.23,8.40
55.00,9.65,54.00,2.21,0.68,0.27,6.70
57.00,9.70,37.00,1.03,0.63,0.35,6.10
52.00,9.70,35.00,1.44,0.62,0.38,6.20
52.00,9.70,33.00,0.71,0.61,0.46,6.30
56.00,12.80,58.00,2.22,0.64,0.66,5.30
54.00,10.05,45.00,4.27,0.63,0.31,8.20
54.00,12.10,37.00,7.04,0.69,0.22,7.20
53.00,12.10,48.00,7.55,0.51,0.78,8.20
49.00,12.90,58.00,1.83,0.63,0.63,5.50
52.00,12.90,69.00,0.42,0.56,0.98,5.60
52.00,12.60,65.00,1.34,0.66,0.43,5.60
52.00,12.10,44.00,8.41,0.54,0.61,8.50
54.00,12.00,40.00,6.33,0.70,0.19,8.20
54.00,11.90,43.00,7.29,0.59,0.34,9.20
51.00,11.90,29.00,5.52,0.57,0.44,8.70
49.00,12.65,70.00,1.16,0.61,0.71,5.40
52.00,12.80,63.00,0.95,0.61,0.82,4.90
52.00,12.80,49.00,1.87,0.68,0.43,4.90
52.00,12.80,56.00,1.60,0.64,0.61,4.40
53.00,9.85,26.00,0.41,0.57,0.60,5.60
50.00,9.60,24.00,1.26,0.60,0.46,5.40
50.00,9.65,28.00,1.30,0.60,0.45,5.60
50.00,9.50,18.00,0.19,0.46,1.07,5.70
52.00,12.80,43.00,1.40,0.65,0.57,4.50
52.00,12.70,43.00,1.78,0.68,0.44,4.50
53.00,12.70,37.00,1.79,0.70,0.36,4.60
51.00,12.70,39.00,1.72,0.69,0.40,4.70
52.00,9.60,13.00,0.82,0.66,0.26,5.60
50.00,9.55,21.00,1.07,0.55,0.58,5.60
51.00,9.50,21.00,0.80,0.51,0.72,5.40
51.00,9.50,22.00,0.39,0.47,0.94,5.60
52.00,9.50,21.00,0.30,0.47,1.00,5.60
52.00,12.60,44.00,1.94,0.66,0.49,4.70
52.00,12.80,55.00,2.55,0.69,0.49,4.40
51.00,9.80,18.00,1.29,0.59,0.54,5.20
48.00,9.90,19.00,1.65,0.62,0.48,4.80
49.00,9.95,18.00,1.76,0.60,0.55,4.60
49.00,12.80,36.00,1.72,0.70,0.44,4.90
48.00,12.80,37.00,1.59,0.69,0.48,4.70
45.00,12.80,41.00,1.64,0.68,0.48,4.60
55.00,10.00,11.00,1.03,0.62,0.36,5.20
48.00,9.80,16.00,1.53,0.62,0.37,5.30
52.00,9.55,29.00,0.69,0.48,0.99,5.80
50.00,9.50,26.00,0.70,0.52,0.73,6.00
49.00,9.50,28.00,1.18,0.56,0.54,5.90
53.00,12.80,37.00,1.86,0.70,0.41,4.90
53.00,12.80,44.00,1.76,0.68,0.52,4.30
54.00,12.80,37.00,1.43,0.68,0.48,4.50
53.00,12.80,35.00,1.52,0.69,0.44,4.70
53.00,9.80,19.00,2.54,0.59,0.47,6.10
48.00,9.65,21.00,1.42,0.56,0.70,5.80
63.00,9.50,23.00,1.70,0.56,0.60,5.60
58.00,12.80,38.00,1.80,0.68,0.51,4.60
49.00,12.80,42.00,1.85,0.66,0.66,4.20
47.00,12.80,36.00,1.41,0.70,0.46,4.10
52.00,12.80,36.00,1.15,0.67,0.56,4.10
55.00,9.50,22.00,1.30,0.59,0.46,6.40
57.00,9.50,35.00,4.88,0.51,1.01,5.90
53.00,9.55,36.00,1.32,0.47,1.39,5.70
52.00,9.55,34.00,1.43,0.46,1.36,5.70
59.00,9.65,29.00,5.51,0.56,0.67,6.00
54.00,12.80,41.00,1.51,0.70,0.43,4.30
56.00,12.80,41.00,1.39,0.69,0.47,4.10
55.00,12.80,42.00,1.72,0.72,0.38,4.40
54.00,12.80,43.00,1.38,0.69,0.48,4.40
54.00,9.40,11.00,1.05,0.59,0.39,7.20
54.00,9.40,15.00,1.09,0.61,0.35,6.60
55.00,9.40,17.00,0.90,0.58,0.50,6.30
58.00,9.65,29.00,5.73,0.58,0.60,6.20
55.00,9.65,22.00,0.99,0.52,0.81,6.30
59.00,9.65,25.00,6.06,0.60,0.46,6.20
57.00,12.80,40.00,1.38,0.69,0.48,4.50
56.00,12.80,36.00,1.27,0.72,0.37,4.70
57.00,12.80,36.00,1.19,0.70,0.40,4.60
42.00,9.40,18.00,1.48,0.62,0.37,6.30
61.00,9.65,24.00,2.46,0.55,0.70,5.90
60.00,9.65,25.00,2.37,0.56,0.64,6.10
58.00,9.70,24.00,2.66,0.58,0.51,6.10
62.00,9.70,23.00,2.76,0.59,0.48,6.00
56.00,12.80,40.00,1.54,0.69,0.49,4.40
55.00,9.40,11.00,0.50,0.59,0.41,7.20
50.00,9.50,17.00,0.99,0.58,0.58,6.20
54.00,9.40,17.00,1.06,0.58,0.54,5.90
53.00,9.50,18.00,1.39,0.59,0.51,5.90
61.00,9.70,24.00,2.32,0.56,0.57,5.90
60.00,9.70,25.00,2.55,0.57,0.57,6.10
61.00,9.70,24.00,2.40,0.54,0.75,6.10
63.00,9.70,23.00,3.53,0.56,0.67,6.00
56.00,12.80,40.00,1.54,0.69,0.49,4.40
56.00,9.50,23.00,1.93,0.58,0.58,6.00
54.00,9.40,17.00,1.60,0.59,0.52,5.60
54.00,9.45,17.00,1.60,0.59,0.52,5.60
53.00,9.30,18.00,1.43,0.61,0.40,5.70
63.00,9.80,29.00,6.19,0.62,0.41,6.80
43.00,13.10,29.00,1.06,0.69,0.62,3.20
55.00,9.40,16.00,1.23,0.59,0.45,6.10
56.00,9.25,15.00,1.14,0.64,0.31,6.20
54.00,9.30,9.00,0.65,0.61,0.33,6.40
56.00,9.30,15.00,1.44,0.55,0.61,6.40
66.00,9.85,36.00,8.67,0.66,0.25,10.20
64.00,9.85,33.00,3.74,0.66,0.29,10.10
59.00,9.90,34.00,5.83,0.67,0.26,8.20
43.00,12.90,31.00,2.12,0.83,0.20,4.10
47.00,12.90,44.00,1.59,0.69,0.61,3.80
59.00,9.30,14.00,1.55,0.57,0.54,5.60
57.00,9.30,16.00,1.73,0.61,0.47,5.80
51.00,9.90,37.00,4.96,0.66,0.29,8.00
64.00,9.95,34.00,4.42,0.67,0.29,8.40
65.00,10.05,40.00,6.15,0.65,0.33,8.80
70.00,10.05,46.00,6.75,0.58,0.60,8.80
61.00,9.10,8.00,1.05,0.68,0.19,6.80
55.00,9.05,8.00,1.47,0.67,0.20,6.50
48.00,12.90,44.00,2.13,0.83,0.20,4.20
47.00,12.90,44.00,1.62,0.69,0.53,4.20
49.00,12.90,33.00,1.37,0.70,0.47,4.20
39.00,8.70,9.00,1.06,0.56,0.40,6.30
50.00,12.85,41.00,1.58,0.68,0.57,4.40
47.00,12.90,33.00,1.87,0.74,0.35,4.70
49.00,12.80,30.00,1.61,0.77,0.27,4.20
51.00,12.80,31.00,0.91,0.67,0.58,4.20
50.00,12.90,29.00,1.93,0.70,0.46,4.30
49.00,12.90,33.00,1.01,0.68,0.58,4.10
53.00,13.00,31.00,0.84,0.69,0.49,4.40
58.00,13.00,33.00,1.20,0.69,0.52,4.10
53.00,12.90,29.00,1.09,0.70,0.53,4.10
53.00,12.90,29.00,1.09,0.70,0.53,4.10
53.00,12.90,29.00,1.09,0.70,0.53,4.10
53.00,12.90,29.00,1.09,0.70,0.53,4.10
53.00,12.90,29.00,1.09,0.70,0.53,4.10
50.00,12.60,35.00,1.71,0.63,0.75,5.00
55.00,12.60,42.00,2.72,0.65,0.71,4.50
56.00,12.60,35.00,1.52,0.65,0.63,4.50
56.00,12.70,35.00,1.51,0.69,0.47,4.60
55.00,12.70,41.00,1.85,0.66,0.66,4.50
55.00,12.70,37.00,1.43,0.66,0.62,4.20
56.00,12.70,40.00,1.41,0.63,0.75,4.10
55.00,12.70,37.00,1.42,0.65,0.64,4.40
55.00,12.70,30.00,1.40,0.68,0.49,4.20
44.00,12.70,27.00,1.17,0.69,0.47,3.80
54.00,12.70,29.00,1.08,0.68,0.51,4.60
56.00,12.70,34.00,1.26,0.67,0.60,4.30
56.00,12.70,33.00,1.36,0.68,0.55,4.20
59.00,12.75,25.00,1.67,0.70,0.45,4.20
58.00,12.80,29.00,1.32,0.68,0.56,4.00
56.00,12.85,34.00,1.53,0.69,0.57,4.10
50.00,12.85,31.00,1.77,0.69,0.56,4.20
53.00,12.80,34.00,0.96,0.68,0.54,4.60
54.00,12.90,41.00,1.77,0.69,0.56,4.10
58.00,12.90,46.00,2.00,0.70,0.51,4.20
57.00,12.95,43.00,1.31,0.65,0.78,4.40
57.00,12.95,45.00,2.10,0.69,0.60,4.50
56.00,12.90,41.00,2.17,0.71,0.45,4.50
56.00,12.90,38.00,1.56,0.69,0.55,4.30
56.00,12.95,46.00,1.90,0.69,0.64,4.40
59.00,12.90,44.00,1.87,0.69,0.55,4.70
53.00,12.95,44.00,1.69,0.67,0.86,3.20
52.00,12.70,29.00,1.60,0.69,0.62,4.40
57.00,12.70,34.00,2.07,0.71,0.47,4.40
57.00,12.75,38.00,1.77,0.69,0.56,4.40
55.00,12.80,28.00,1.21,0.70,0.56,4.20
58.00,12.80,35.00,1.69,0.69,0.60,4.40
57.00,12.70,42.00,1.22,0.67,0.73,4.30
60.00,12.80,41.00,1.41,0.68,0.67,4.40
57.00,12.80,43.00,2.37,0.69,0.55,4.70
58.00,12.85,45.00,1.69,0.67,0.72,4.50
51.00,12.85,41.00,2.64,0.70,0.58,5.70
55.00,12.80,35.00,1.29,0.72,0.46,4.70
57.00,12.90,28.00,1.74,0.72,0.47,4.90
52.00,12.80,35.00,1.56,0.71,0.59,4.40
53.00,12.80,29.00,1.96,0.72,0.49,4.30
58.00,12.80,35.00,2.13,0.72,0.44,4.80
60.00,12.85,35.00,1.87,0.69,0.66,4.00
53.00,12.95,43.00,2.33,0.69,0.68,4.20
59.00,12.80,45.00,2.88,0.73,0.48,4.60
58.00,12.80,37.00,1.62,0.70,0.59,4.30
53.00,12.65,34.00,1.99,0.69,0.62,4.40
53.00,12.70,40.00,2.68,0.71,0.57,4.30
56.00,12.60,24.00,1.49,0.71,0.44,4.00
53.00,12.80,31.00,2.04,0.70,0.61,4.20
50.00,12.90,39.00,2.77,0.72,0.48,5.00
51.00,13.00,52.00,3.22,0.70,0.63,5.00
55.00,12.80,51.00,2.78,0.70,0.56,5.20
60.00,12.80,55.00,2.93,0.70,0.52,5.00
60.00,12.85,53.00,3.43,0.70,0.51,5.10
55.00,12.80,44.00,3.82,0.71,0.53,4.80
54.00,12.75,34.00,2.25,0.66,0.73,5.00
54.00,12.75,34.00,2.25,0.66,0.73,5.00
49.00,12.20,37.00,3.43,0.71,0.39,5.00
53.00,12.60,29.00,4.20,0.73,0.43,4.90
53.00,12.70,32.00,2.98,0.70,0.50,4.80
54.00,12.60,35.00,3.62,0.71,0.47,4.60
54.00,12.80,23.00,0.90,0.70,0.46,4.50
54.00,12.90,31.00,0.76,0.70,0.56,4.50
54.00,12.80,44.00,0.90,0.62,1.05,4.60
54.00,12.80,32.00,1.59,0.68,0.62,4.80
54.00,12.90,36.00,2.57,0.68,0.64,4.70
54.00,13.25,39.00,1.44,0.67,0.74,4.70
54.00,13.35,26.00,1.63,0.73,0.42,4.90
54.00,13.55,25.00,1.63,0.72,0.45,4.90
54.00,13.60,29.00,1.76,0.72,0.53,4.30
54.00,13.60,32.00,1.80,0.72,0.58,4.40
49.00,13.80,24.00,1.93,0.74,0.42,5.40
51.00,13.75,29.00,2.11,0.71,0.57,4.20
49.00,13.70,20.00,1.80,0.70,0.54,4.40
47.00,13.70,24.00,2.20,0.74,0.40,5.00
47.00,13.65,27.00,2.27,0.73,0.46,4.80
50.00,13.70,21.00,2.44,0.75,0.47,4.20
49.00,13.65,23.00,2.49,0.75,0.45,4.50
47.00,13.60,23.00,2.20,0.75,0.41,4.40
47.00,13.60,22.00,1.83,0.75,0.37,4.90
49.00,13.55,33.00,2.46,0.74,0.53,4.20
50.00,13.45,28.00,2.65,0.76,0.41,4.50
50.00,13.45,28.00,2.65,0.76,0.41,4.50
52.00,13.50,28.00,0.83,0.77,0.25,7.00
47.00,14.00,21.00,1.78,0.79,0.25,5.30
53.00,14.10,31.00,2.83,0.74,0.55,4.20
47.00,14.10,39.00,2.31,0.73,0.50,4.60
47.00,14.10,37.00,2.47,0.77,0.38,4.80
50.00,14.10,44.00,1.45,0.59,1.32,4.80
47.00,14.10,39.00,2.32,0.74,0.50,4.60
47.00,14.10,37.00,2.47,0.77,0.38,4.80
50.00,14.10,44.00,1.45,0.59,1.32,4.80
20.00,11.20,150.00,22.57,0.93,0.03,13.40
28.00,10.40,54.00,5.86,0.84,0.04,13.00
26.00,8.80,26.00,1.54,0.63,0.35,6.60
30.00,8.90,28.00,1.55,0.60,0.45,6.20
33.00,9.10,24.00,0.81,0.56,0.57,6.30
35.00,9.60,29.00,1.44,0.62,0.38,6.40
38.00,9.80,32.00,1.26,0.57,0.74,5.60
40.00,9.80,29.00,1.86,0.60,0.51,5.60
40.00,9.70,31.00,1.42,0.59,0.50,5.80
33.00,9.30,28.00,2.95,0.58,0.67,5.20
37.00,9.20,28.00,1.16,0.59,0.34,6.00
39.00,10.10,32.00,3.47,0.67,0.27,5.60
43.00,10.00,36.00,2.06,0.64,0.34,5.50
43.00,9.80,39.00,2.93,0.60,0.42,5.20
43.00,9.80,43.00,3.32,0.63,0.34,5.60
38.00,9.60,26.00,2.53,0.60,0.55,5.00
40.00,9.45,21.00,1.91,0.62,0.38,5.60
34.00,9.50,21.00,1.86,0.73,0.15,5.20
40.00,9.40,19.00,1.56,0.66,0.20,5.20
45.00,9.60,57.00,1.00,0.49,0.67,7.20
44.00,9.50,71.00,5.21,0.58,0.37,7.00
37.00,9.30,28.00,0.44,0.56,0.44,6.20
40.00,9.80,36.00,1.64,0.60,0.35,5.90
37.00,9.60,38.00,2.26,0.61,0.38,5.70
39.00,9.40,37.00,1.54,0.58,0.40,6.20
43.00,9.40,55.00,2.29,0.64,0.28,6.00
48.00,9.40,53.00,5.24,0.73,0.13,5.70
44.00,9.80,45.00,5.19,0.70,0.21,5.40
44.00,9.80,54.00,5.29,0.61,0.39,6.00
47.00,9.70,35.00,2.33,0.59,0.37,5.40
43.00,9.80,45.00,6.99,0.73,0.15,5.70
53.00,8.70,10.00,0.70,0.62,0.30,8.00
52.00,8.60,10.00,0.74,0.61,0.29,8.20
53.00,8.60,7.00,1.29,0.60,0.28,8.40
53.00,8.70,7.00,0.26,0.43,0.90,8.80
54.00,8.70,18.00,1.97,0.61,0.39,7.90
54.00,8.70,15.00,1.56,0.61,0.36,8.00
54.00,8.80,14.00,1.68,0.63,0.31,7.80
27.30,9.10,9.00,0.76,0.71,0.12,6.50
31.20,9.25,11.00,0.81,0.64,0.26,5.40
56.00,8.80,22.00,1.50,0.55,0.61,8.00
56.00,8.80,21.00,1.84,0.59,0.45,7.70
57.00,8.80,20.00,2.19,0.62,0.31,7.90
57.00,8.90,20.00,1.29,0.57,0.48,7.80
58.00,9.70,55.00,2.99,0.56,0.44,8.50
59.00,9.80,51.00,4.02,0.61,0.39,8.80
31.20,9.25,11.00,0.81,0.64,0.26,5.40
58.00,8.90,22.00,1.25,0.56,0.51,8.20
58.00,8.90,24.00,1.81,0.57,0.47,7.60
57.00,8.90,24.00,1.87,0.58,0.44,7.70
60.00,9.00,25.00,1.87,0.58,0.44,8.10
37.20,9.40,8.00,1.41,0.64,0.25,6.70
58.00,9.00,26.00,2.01,0.60,0.38,8.00
52.00,9.00,24.00,1.53,0.59,0.38,7.90
59.00,9.00,25.00,0.94,0.49,0.72,9.40
58.00,9.00,27.00,2.17,0.61,0.33,8.20
57.00,9.10,24.00,1.61,0.58,0.37,8.40
58.00,9.10,25.00,1.92,0.63,0.24,9.20
58.00,9.10,30.00,2.04,0.61,0.37,8.40
58.00,9.10,35.00,1.69,0.64,0.29,8.50
60.00,9.10,30.00,1.37,0.63,0.25,8.20
41.50,9.60,10.00,1.91,0.58,0.44,5.70
60.00,9.10,29.00,1.25,0.61,0.29,8.60
59.00,9.10,31.00,1.39,0.57,0.44,8.10
60.00,9.20,34.00,1.87,0.58,0.44,7.80
62.00,9.20,31.00,1.56,0.61,0.36,7.30
43.10,9.90,12.00,2.01,0.58,0.40,7.00
43.20,10.00,12.00,1.40,0.58,0.44,6.50
61.00,9.20,31.00,1.05,0.52,0.63,7.80
60.00,9.30,28.00,0.86,0.50,0.73,7.40
60.00,9.30,25.00,1.52,0.61,0.36,7.40
62.00,9.30,26.00,0.21,0.50,0.77,7.50
43.60,10.00,13.00,1.85,0.54,0.58,6.40
44.10,10.00,9.00,1.61,0.58,0.37,6.90
42.80,9.80,10.00,1.50,0.58,0.40,6.90
62.00,9.30,26.00,0.21,0.50,0.77,7.50
61.00,9.10,15.00,1.41,0.63,0.24,8.40
62.00,9.10,14.00,1.60,0.61,0.35,7.70
64.00,9.20,22.00,1.03,0.59,0.38,7.80
42.90,9.80,11.00,1.63,0.54,0.58,6.20
43.80,9.90,16.00,2.90,0.58,0.50,6.00
62.00,9.20,18.00,0.89,0.58,0.44,7.30
60.00,9.20,19.00,0.74,0.56,0.51,7.40
61.00,9.10,20.00,1.46,0.61,0.39,7.20
61.00,9.20,18.00,1.19,0.57,0.50,7.10
43.60,10.00,13.00,2.06,0.56,0.58,6.80
44.50,9.95,13.00,1.50,0.55,0.61,6.40
45.30,10.00,12.00,1.26,0.54,0.61,6.30
44.10,10.00,13.00,1.38,0.52,0.77,6.80
61.00,9.10,18.00,1.46,0.61,0.39,7.40
61.00,9.00,17.00,1.29,0.57,0.48,7.20
60.00,9.00,17.00,1.14,0.55,0.54,7.40
44.20,9.90,13.00,1.99,0.56,0.61,7.10
44.60,10.10,13.00,1.63,0.56,0.54,7.20
43.70,10.00,13.00,1.62,0.56,0.54,7.40
61.00,9.10,16.00,0.56,0.55,0.58,7.50
58.00,9.00,15.00,0.57,0.54,0.59,7.40
58.00,9.00,16.00,0.92,0.58,0.41,7.60
58.00,9.00,14.00,1.11,0.61,0.33,7.60
43.40,10.05,13.00,1.58,0.55,0.58,7.50
46.10,10.00,13.00,0.81,0.53,0.70,7.30
47.20,10.10,16.00,1.38,0.54,0.65,7.40
57.00,9.10,15.00,0.17,0.54,0.55,7.80
45.10,10.15,17.00,1.37,0.55,0.64,7.40
44.80,10.20,13.00,1.11,0.56,0.54,7.50
57.00,9.00,10.00,1.37,0.63,0.25,8.60
58.00,9.10,11.00,1.31,0.63,0.27,8.20
58.00,9.10,10.00,1.31,0.63,0.27,8.10
57.00,9.10,8.00,0.80,0.63,0.27,8.50
58.00,9.10,10.00,1.15,0.61,0.33,8.70
44.80,10.20,13.00,1.12,0.56,0.54,7.50
44.80,10.20,13.00,1.11,0.56,0.54,7.50
66.00,9.30,27.00,2.11,0.57,0.54,9.70
60.00,9.40,28.00,3.40,0.56,0.71,8.60
44.80,10.20,13.00,1.11,0.56,0.54,7.50
70.00,9.40,29.00,4.03,0.58,0.64,8.40
60.00,9.60,27.00,3.18,0.61,0.56,8.50
60.00,10.20,20.00,3.37,0.65,0.40,9.00
61.00,10.30,33.00,6.10,0.58,0.78,9.20
61.00,10.70,33.00,3.37,0.65,0.40,9.10
40.30,9.10,7.00,0.91,0.65,0.23,6.20
42.40,9.20,8.00,0.95,0.65,0.22,6.40
42.10,9.10,8.00,1.01,0.65,0.20,6.60
44.00,9.10,9.00,2.30,0.65,0.27,6.30
61.00,10.70,33.00,3.37,0.65,0.40,9.10
56.00,11.00,26.00,3.03,0.67,0.40,9.80
49.50,9.40,9.00,1.10,0.58,0.37,6.20
50.20,9.40,9.00,1.10,0.58,0.37,6.80
50.10,9.30,16.00,2.08,0.61,0.36,6.60
64.00,11.00,96.00,13.36,0.79,0.16,12.60
47.40,9.50,15.00,1.34,0.58,0.47,6.50
44.60,9.40,14.00,1.34,0.58,0.47,6.40
46.10,9.40,11.00,1.58,0.59,0.38,6.60
41.30,9.40,22.00,2.42,0.60,0.42,5.70
64.00,11.00,86.00,11.72,0.78,0.18,11.40
60.00,11.00,32.00,2.61,0.69,0.35,9.00
61.00,11.10,37.00,3.42,0.64,0.46,9.90
64.00,11.10,30.00,3.67,0.68,0.36,9.90
61.00,11.20,35.00,3.68,0.69,0.35,9.80
64.00,11.30,41.00,6.49,0.65,0.44,10.20
60.00,11.30,44.00,5.58,0.68,0.39,9.70
